tweet_id,tweet_text,tweet_created_at,url_noticia,titular_noticia,is_clickbait,retweet_count,like_count,reply_count,quote_count,procesado_en,bearer_token_usado
1928376813148897524,Frases inspiradoras. https://t.co/akeHX8Radv,2025-05-30 09:03:54,https://t.co/akeHX8Radv,https://twitter.com/sport/status/1928372056569315744,1,1,48,0,0,2025-05-30 15:50:37,1
1928376585255604600,A los 25 empezamos a perder agudeza visual. https://t.co/pwUqPTlapw,2025-05-30 09:03:00,https://t.co/pwUqPTlapw,https://twitter.com/La_SER/status/1928372056837742665,1,8,203,0,4,2025-05-30 15:50:38,1
1928376381701812549,El tabaco. https://t.co/Mw0hQLRW42,2025-05-30 09:02:11,https://t.co/Mw0hQLRW42,https://twitter.com/abc_es/status/1928372061358993679,1,20,289,0,1,2025-05-30 15:50:39,1
1928348261888249881,Se adaptarán a personas con dicapacidades varias. https://t.co/6YYAJyjzeJ,2025-05-30 07:10:27,https://t.co/6YYAJyjzeJ,https://twitter.com/okdiario/status/1928339250149269529,1,12,273,0,0,2025-05-30 15:50:40,1
1928347829379961064,Usar las entradas y salidas con menos coste. https://t.co/noMgLDNRaW,2025-05-30 07:08:44,https://t.co/noMgLDNRaW,https://twitter.com/ahorrandoclick1/status/1928347829379961064/photo/1,1,1,48,0,0,2025-05-30 15:50:41,1
1928343632123134168,"https://t.co/SEes3D4fmg

De la marca Mozart https://t.co/4qop4sq507",2025-05-30 06:52:03,https://t.co/SEes3D4fmg,https://x.com/AESAN_gob_es/status/1928167779057709517?s=19,1,1,23,0,0,2025-05-30 15:50:42,1
1928343632123134168,"https://t.co/SEes3D4fmg

De la marca Mozart https://t.co/4qop4sq507",2025-05-30 06:52:03,https://t.co/4qop4sq507,https://twitter.com/El_Plural/status/1928342773108773197,1,1,23,0,0,2025-05-30 15:50:43,1
1928321266055877016,Canadá https://t.co/QrarEpxOI0,2025-05-30 05:23:10,https://t.co/QrarEpxOI0,https://twitter.com/NoticiasCaracol/status/1928315434773926074,1,10,256,1,0,2025-05-30 15:50:44,1
1928320333678788928,Sant Climent de Llobregat https://t.co/5HkcpHHewx,2025-05-30 05:19:28,https://t.co/5HkcpHHewx,https://twitter.com/LaOtraCronica/status/1928317362333212706,1,0,82,1,0,2025-05-30 15:50:46,1
1928319387343131043,No se sabe seguro https://t.co/ajgMZeKTMM,2025-05-30 05:15:43,https://t.co/ajgMZeKTMM,https://twitter.com/futbolred/status/1928298891838972100,1,2,75,0,0,2025-05-30 15:50:47,1
1928319117477445917,PSG https://t.co/MUMqiUVpZF,2025-05-30 05:14:38,https://t.co/MUMqiUVpZF,https://twitter.com/elgraficoweb/status/1928274161228521701,1,9,464,1,0,2025-05-30 15:50:48,1
