url_noticia,titular_noticia,is_clickbait,texto_titular,token_usado,status_procesamiento
https://t.co/akeHX8Radv,https://twitter.com/sport/status/1928372056569315744,1,"🤫 El secreto mejor guardado de Paula Badosa: ""Lo tengo escrito en la raqueta""

✍️ @albertbriva9 
https://t.co/ik70DfHNVe",1.0,success
https://t.co/pwUqPTlapw,https://twitter.com/La_SER/status/1928372056837742665,1,"🎮 Aimar Bretos descubre cuándo se jubilan los jugadores de eSports y se queda sin palabras: ""Me ha matado"" https://t.co/QSJEl9GSSD",2.0,success
https://t.co/Mw0hQLRW42,https://twitter.com/abc_es/status/1928372061358993679,1,"🔍 Esta es la causa de más del 80% de los cánceres de cavidad oral, laringe y faringe https://t.co/jggrhWLEP2",3.0,success
https://t.co/6YYAJyjzeJ,https://twitter.com/okdiario/status/1928339250149269529,1,Giro de 180º en los cajeros de toda la vida: el cambio que llega el 28 de junio https://t.co/4cOcWdGsSE,4.0,success
https://t.co/noMgLDNRaW,https://twitter.com/ahorrandoclick1/status/1928347829379961064/photo/1,1,Usar las entradas y salidas con menos coste. https://t.co/noMgLDNRaW,5.0,success
https://t.co/SEes3D4fmg,https://x.com/AESAN_gob_es/status/1928167779057709517?s=19,1,"⚠️ Exclusivamente para personas con alergia o intolerancia a los componentes de la leche: posible presencia de leche no declarada en el etiquetado de licores.
📌 https://t.co/cI17Hly9gz https://t.co/Ee2jrd1iC4",1.0,success
https://t.co/4qop4sq507,https://twitter.com/El_Plural/status/1928342773108773197,1,"Retiran estos populares licores vendidos en toda España: si tienes alergia, no los consumas https://t.co/KiaFQWg0V1",2.0,success
https://t.co/QrarEpxOI0,https://twitter.com/NoticiasCaracol/status/1928315434773926074,1,"Este es el país con la costa más larga del mundo: está rodeado por tres océanos y ninguno lo supera

https://t.co/o86UhKS0Nc",3.0,success
https://t.co/5HkcpHHewx,https://twitter.com/LaOtraCronica/status/1928317362333212706,1,"El bonito pueblo milenario en el que nació Aitana: rodeado de montañas, cerca de Barcelona y famoso por sus cerezas https://t.co/Gvx8QYzHW0 https://t.co/w6BirP5xga",4.0,success
https://t.co/ajgMZeKTMM,https://twitter.com/futbolred/status/1928298891838972100,1,#SelColombia | 🤔🧤 ¿Por qué Álvaro Montero no fue convocado a la Selección Colombia? Todos los detalles aquí 👇🔗 https://t.co/Wu43PJIL2v,5.0,success
https://t.co/MUMqiUVpZF,https://twitter.com/elgraficoweb/status/1928274161228521701,1,"💣Bombazo: principio de acuerdo entre Franco Mastantuono y un gigante de Europa

🔴⚪La joven estrella de River partiría al fútbol del Viejo Continente después de dos negociaciones que se dieron en Buenos Aires.
https://t.co/Hy91EK3YKT",1.0,success
https://t.co/N6CpvmPhv8,https://twitter.com/MundoEConflicto/status/1928243707414733036,1,🍟 McDonald’s anunció cierre masivo de locales para junio 2025: los motivos detrás de la decisión. https://t.co/XVGIsp4kn9,2.0,success
https://t.co/yRedrEgHY3,https://twitter.com/WinSportsTV/status/1928118823086969323,1,"🟢🤔 ¿Cuestión de horas? Deportivo Cali haría un importante anuncio sobre Alfredo Arias
https://t.co/zq9zECOMet",3.0,success
https://t.co/ywrUwTfMSw,https://twitter.com/los_replicantes/status/1928027601358012787,1,Adiós a esta multinacional en España: cierra su histórica tienda y abandona esta capital https://t.co/yOWcRXE3nw,4.0,success
https://t.co/dlh90R36DE,https://twitter.com/okdiario/status/1927957810316234852,1,Hacienda lo confirma: multas de miles de euros por sacar ésta cantidad del cajero https://t.co/JZFekZpPdg,5.0,success
https://t.co/vHeyWb0ngq,https://twitter.com/meganoticiascl/status/1927942979106328625,1,Duró menos de cuatro años: Popular cervecería cerrará para siempre el próximo 31 de mayo      https://t.co/0iEwV0EEjL,1.0,success
https://t.co/fIeHKKf1a4,https://twitter.com/CaracolDeportes/status/1927733193861456105,1,"🔵 Millonarios, el mejor equipo colombiano en este ranking histórico de la Copa Libertadores

🔝 El cuadro ‘embajador’ supera a equipos históricos como Cruzeiro, Racing, Deportivo Cali, entre otros

https://t.co/m6GPwMpStr",2.0,success
https://t.co/CD29cWj7iF,https://twitter.com/Antena2RCN/status/1927787591144821023,1,"😲 Junior anunció cambio de DT

https://t.co/stBHuAjnuk",3.0,success
https://t.co/wWmbBCI6Qm,https://twitter.com/mediotiempo/status/1927595391786123745,1,"¡Ah caray! 😳
Toluca deja Televisa y sus partidos serán transmitidos por esta televisora a partir del Apertura 2025

https://t.co/9MC4728LrY https://t.co/DaY9bC3I7Z",4.0,success
